   77   984.865 101536.766 0.8892E+08   X  0  2 P   B 10  1 P
   78   983.594 101667.977 0.5738E+08   X  0  2 P   B 10  3 P
   79   975.347 102527.602 0.7936E+08   X  0  2 P   B 11  1 P
   80   974.160 102652.508 0.5120E+08   X  0  2 P   B 11  3 P
   81   966.277 103489.992 0.6958E+08   X  0  2 P   B 12  1 P
   82   965.049 103621.688 0.4490E+08   X  0  2 P   B 12  3 P
   83   957.657 104421.531 0.6017E+08   X  0  2 P   B 13  1 P
   84   956.584 104538.656 0.3881E+08   X  0  2 P   B 13  3 P
   85  1012.169  98797.680 0.2395E+08   X  0  2 P   C  0  1 P
   86  1010.938  98918.016 0.7211E+08   X  0  2 P   C  0  2 P
   87  1009.025  99105.617 0.4144E+08   X  0  2 P   C  0  3 P
   88   989.088 101103.250 0.3928E+08   X  0  2 P   C  1  1 P
   89   987.974 101217.258 0.1182E+09   X  0  2 P   C  1  2 P
   90   986.243 101394.852 0.6792E+08   X  0  2 P   C  1  3 P
   91   968.294 103274.438 0.4013E+08   X  0  2 P   C  2  1 P
   92   967.280 103382.688 0.1208E+09   X  0  2 P   C  2  2 P
   93   965.795 103541.617 0.6932E+08   X  0  2 P   C  2  3 P
   94   949.609 105306.453 0.3334E+08   X  0  2 P   C  3  1 P
   95   948.581 105420.609 0.1003E+09   X  0  2 P   C  3  2 P
   96  1115.896  89614.109 0.4566E+07   X  0  3 O   B  0  2 O
   97  1112.584  89880.852 0.3413E+07   X  0  3 O   B  0  4 O
   98  1099.787  90926.664 0.1635E+08   X  0  3 O   B  1  2 O
   99  1096.725  91180.539 0.1221E+08   X  0  3 O   B  1  4 O
  100  1084.560  92203.258 0.3404E+08   X  0  3 O   B  2  2 O
  101  1081.711  92446.133 0.2542E+08   X  0  3 O   B  2  4 O
  102  1070.141  93445.641 0.5380E+08   X  0  3 O   B  3  2 O
  103  1067.478  93678.750 0.4015E+08   X  0  3 O   B  3  4 O
  104  1056.472  94654.703 0.7168E+08   X  0  3 O   B  4  2 O
  105  1053.976  94878.844 0.5348E+08   X  0  3 O   B  4  4 O
  106  1043.503  95831.031 0.8500E+08   X  0  3 O   B  5  2 O
  107  1041.158  96046.867 0.6339E+08   X  0  3 O   B  5  4 O
  108  1031.196  96974.789 0.9264E+08   X  0  3 O   B  6  2 O
  109  1028.989  97182.789 0.6906E+08   X  0  3 O   B  6  4 O
  110  1019.505  98086.773 0.9476E+08   X  0  3 O   B  7  2 O
  111  1017.430  98286.859 0.7062E+08   X  0  3 O   B  7  4 O
  112  1008.388  99168.203 0.9243E+08   X  0  3 O   B  8  2 O
  113  1006.416  99362.523 0.6887E+08   X  0  3 O   B  8  4 O
  114   997.830 100217.438 0.8689E+08   X  0  3 O   B  9  2 O
  115   995.977 100403.961 0.6472E+08   X  0  3 O   B  9  4 O
  116   987.771 101238.055 0.7932E+08   X  0  3 O   B 10  2 O
  117   985.965 101423.508 0.5908E+08   X  0  3 O   B 10  4 O
  118   978.221 102226.430 0.7079E+08   X  0  3 O   B 11  2 O
  119   976.554 102400.930 0.5271E+08   X  0  3 O   B 11  4 O
  120   969.091 103189.461 0.6208E+08   X  0  3 O   B 12  2 O
  121   967.678 103340.109 0.4619E+08   X  0  3 O   B 12  4 O
  122   960.454 104117.453 0.5368E+08   X  0  3 O   B 13  2 O
  123   958.949 104280.781 0.3995E+08   X  0  3 O   B 13  4 O
  124  1014.504  98570.344 0.2854E+08   X  0  3 O   C  0  2 O
  125  1012.679  98747.961 0.7174E+08   X  0  3 O   C  0  3 O
  126  1010.130  98997.180 0.4016E+08   X  0  3 O   C  0  4 O
  127   991.380 100869.500 0.4681E+08   X  0  3 O   C  1  2 O
  128   989.729 101037.773 0.1176E+09   X  0  3 O   C  1  3 O
  129   987.448 101271.164 0.6579E+08   X  0  3 O   C  1  4 O
  130   970.563 103032.961 0.4781E+08   X  0  3 O   C  2  2 O
  131   969.049 103194.008 0.1201E+09   X  0  3 O   C  2  3 O
  132   966.779 103436.203 0.6719E+08   X  0  3 O   C  2  4 O
  133   951.671 105078.312 0.3975E+08   X  0  3 O   C  3  2 O
  134   950.397 105219.164 0.9977E+08   X  0  3 O   C  3  3 O
  135  1120.248  89265.914 0.4298E+07   X  0  4 P   B  0  3 P
  136  1116.015  89604.555 0.3458E+07   X  0  4 P   B  0  5 P
  137  1104.084  90572.852 0.1539E+08   X  0  4 P   B  1  3 P
  138  1100.164  90895.547 0.1237E+08   X  0  4 P   B  1  5 P
  139  1088.795  91844.672 0.3204E+08   X  0  4 P   B  2  3 P
  140  1085.145  92153.586 0.2575E+08   X  0  4 P   B  2  5 P
  141  1074.312  93082.797 0.5064E+08   X  0  4 P   B  3  3 P
  142  1070.899  93379.477 0.4067E+08   X  0  4 P   B  3  5 P
  143  1060.581  94287.961 0.6748E+08   X  0  4 P   B  4  3 P
  144  1057.380  94573.336 0.5416E+08   X  0  4 P   B  4  5 P
  145  1047.552  95460.703 0.8002E+08   X  0  4 P   B  5  3 P
  146  1044.544  95735.586 0.6420E+08   X  0  4 P   B  5  5 P
  147  1035.186  96601.023 0.8721E+08   X  0  4 P   B  6  3 P
  148  1032.354  96865.961 0.6994E+08   X  0  4 P   B  6  5 P
  149  1023.439  97709.812 0.8921E+08   X  0  4 P   B  7  3 P
  150  1020.773  97965.016 0.7152E+08   X  0  4 P   B  7  5 P
  151  1012.264  98788.445 0.8703E+08   X  0  4 P   B  8  3 P
  152  1009.721  99037.305 0.6975E+08   X  0  4 P   B  8  5 P
  153  1001.657  99834.547 0.8181E+08   X  0  4 P   B  9  3 P
  154   999.276 100072.414 0.6554E+08   X  0  4 P   B  9  5 P
  155   991.537 100853.570 0.7469E+08   X  0  4 P   B 10  3 P
  156   989.283 101083.281 0.5982E+08   X  0  4 P   B 10  5 P
  157   981.951 101838.102 0.6666E+08   X  0  4 P   B 11  3 P
  158   979.806 102061.031 0.5337E+08   X  0  4 P   B 11  5 P
  159   972.694 102807.281 0.5847E+08   X  0  4 P   B 12  3 P
  160   964.095 103724.250 0.5055E+08   X  0  4 P   B 13  3 P
  161   962.160 103932.820 0.4045E+08   X  0  4 P   B 13  5 P
  162  1017.385  98291.211 0.3032E+08   X  0  4 P   C  0  3 P
  163  1014.981  98523.977 0.7126E+08   X  0  4 P   C  0  4 P
  164  1011.813  98832.477 0.3923E+08   X  0  4 P   C  0  5 P
  165   994.229 100580.445 0.4972E+08   X  0  4 P   C  1  3 P
  166   992.050 100801.320 0.1168E+09   X  0  4 P   C  1  4 P
  167   989.215 101090.266 0.6425E+08   X  0  4 P   C  1  5 P
  168   973.452 102727.211 0.5077E+08   X  0  4 P   C  2  3 P
  169   971.389 102945.414 0.1192E+09   X  0  4 P   C  2  4 P
  170   952.738 104960.602 0.9904E+08   X  0  4 P   C  3  4 P
  171  1125.541  88846.203 0.4120E+07   X  0  5 O   B  0  4 O
  172  1120.399  89253.914 0.3470E+07   X  0  5 O   B  0  6 O
  173  1109.313  90145.891 0.1475E+08   X  0  5 O   B  1  4 O
  174  1104.547  90534.852 0.1242E+08   X  0  5 O   B  1  6 O
  175  1093.954  91411.484 0.3071E+08   X  0  5 O   B  2  4 O
  176  1089.512  91784.172 0.2583E+08   X  0  5 O   B  2  6 O
  177  1079.400  92644.102 0.4854E+08   X  0  5 O   B  3  4 O
  178  1075.243  93002.195 0.4080E+08   X  0  5 O   B  3  6 O
  179  1065.596  93844.195 0.6468E+08   X  0  5 O   B  4  4 O
  180  1061.696  94188.945 0.5433E+08   X  0  5 O   B  4  6 O
  181  1052.496  95012.219 0.7670E+08   X  0  5 O   B  5  4 O
  182  1048.829  95344.461 0.6439E+08   X  0  5 O   B  5  6 O
  183  1040.062  96148.141 0.8360E+08   X  0  5 O   B  6  4 O
  184  1036.609  96468.359 0.7015E+08   X  0  5 O   B  6  6 O
  185  1028.254  97252.211 0.8552E+08   X  0  5 O   B  7  4 O
  186  1024.998  97561.172 0.7173E+08   X  0  5 O   B  7  6 O
  187  1017.006  98327.875 0.8343E+08   X  0  5 O   B  8  4 O
  188  1006.347  99369.312 0.7843E+08   X  0  5 O   B  9  4 O
  189  1003.437  99657.445 0.6573E+08   X  0  5 O   B  9  6 O
  190   996.126 100388.859 0.7161E+08   X  0  5 O   B 10  4 O
  191   993.623 100641.781 0.5995E+08   X  0  5 O   B 10  6 O
  192   986.521 101366.281 0.6391E+08   X  0  5 O   B 11  4 O
  193   983.874 101639.000 0.5352E+08   X  0  5 O   B 11  6 O
  194   977.465 102305.461 0.5602E+08   X  0  5 O   B 12  4 O
  195   968.559 103246.133 0.4847E+08   X  0  5 O   B 13  4 O
  196  1020.798  97962.531 0.3113E+08   X  0  5 O   C  0  4 O
  197  1017.831  98248.180 0.7066E+08   X  0  5 O   C  0  5 O
  198   997.640 100236.516 0.5103E+08   X  0  5 O   C  1  4 O
  199   994.924 100510.180 0.1158E+09   X  0  5 O   C  1  5 O
  200   976.548 102401.555 0.5216E+08   X  0  5 O   C  2  4 O
  201   974.286 102639.219 0.1182E+09   X  0  5 O   C  2  5 O
  202   955.665 104639.211 0.9813E+08   X  0  5 O   C  3  5 O
  203  1131.755  88358.383 0.3979E+07   X  0  6 P   B  0  5 P
  204  1125.727  88831.508 0.3459E+07   X  0  6 P   B  0  7 P
  205  1115.457  89649.375 0.1425E+08   X  0  6 P   B  1  5 P
  206  1109.860  90101.438 0.1237E+08   X  0  6 P   B  1  7 P
  207  1100.020  90907.414 0.2966E+08   X  0  6 P   B  2  5 P
  208  1094.799  91340.984 0.2574E+08   X  0  6 P   B  2  7 P
  209  1085.384  92133.305 0.4687E+08   X  0  6 P   B  3  5 P
