# High-precision calculation of potential energy curve for the ground
# electronic state (1Sigma_g^+) of H_2 from,
# 
#  K. Pachucki, Phys. Rev. A  82, 032509 (2010)
#
# r is in atomic units, V(r) is in atomic units.
#
0.10D0   7.1272167311320D0
0.20D0   2.19780329522618D0
0.30D0   0.619241659796226D0
0.40D0  -0.120230341178823D0
0.50D0  -0.526638758743001D0
0.60D0  -0.7696354294859092D0
0.70D0  -0.9220274615274636D0
0.80D0  -1.0200566663605151D0
0.90D0  -1.0836432399588343D0
1.00D0  -1.1245397195468708D0
1.10D0  -1.1500573677385650D0
1.20D0  -1.1649352434403099D0
1.25D0  -1.1694196273909022D0
1.30D0  -1.1723471490380904D0
1.32D0  -1.1731387363334793D0
1.34D0  -1.1737348749583451D0
1.36D0  -1.1741484985704193D0
1.38D0  -1.1743916836322532D0
1.39D0  -1.1744529172784574D0
1.40D0  -1.1744757142204434D0
1.41D0  -1.1744613708706800D0
1.42D0  -1.1744111412392317D0
1.44D0  -1.1742078365850950D0
1.46D0  -1.1738750427492034D0
1.48D0  -1.1734214182920817D0
1.50D0  -1.1728550795785838D0
1.55D0  -1.1709949198970180D0
1.60D0  -1.1685833733714593D0
1.70D0  -1.1624587268984588D0
1.80D0  -1.1550687376116094D0
1.90D0  -1.1468506970296887D0
2.00D0  -1.1381329571326480D0
2.10D0  -1.1291638361013193D0
2.20D0  -1.1201321168492218D0
2.30D0  -1.1111817652044391D0
2.40D0  -1.1024226060113263D0
2.50D0  -1.0939381299558790D0
2.60D0  -1.0857912373961321D0
2.70D0  -1.0780284841838287D0
2.80D0  -1.0706832334814249D0
2.90D0  -1.0637780088060211D0
3.00D0  -1.0573262688726617D0
3.10D0  -1.0513337722680178D0
3.20D0  -1.045799661432432D0
3.30D0  -1.040717365351395D0
3.40D0  -1.0360753951907599D0
3.50D0  -1.0318580848550934D0
3.60D0  -1.0280463083797348D0
3.70D0  -1.024618188410962D0
3.80D0  -1.021549795533649D0
3.90D0  -1.018815827696496D0
4.00D0  -1.0163902529506681D0
4.20D0  -1.012359959683166D0
4.40D0  -1.0092565162615862D0
4.60D0  -1.0068952238227406D0
4.80D0  -1.0051160061003838D0
5.00D0  -1.0037856585839706D0
5.20D0  -1.0027968163112547D0
5.40D0  -1.0020650572097059D0
5.60D0  -1.0015252518866137D0
5.80D0  -1.0011278808524173D0
6.00D0  -1.0008357076551804D0
6.50D0  -1.0004005485345376D0
7.00D0  -1.0001979144800381D0
7.50D0  -1.0001021061478089D0
8.00D0  -1.0000556049730730D0
8.50D0  -1.0000321718328288D0
9.00D0  -1.0000197818324911D0
9.50D0  -1.0000128568768268D0
10.00D0 -1.0000087557460515D0
10.50D0 -1.0000061899951069D0
11.00D0 -1.0000045059894362D0
11.50D0 -1.0000033561745754D0
12.00D0 -1.0000025459695285D0
13.00D0 -1.0000015292866698D0
14.00D0 -1.0000009606807911D0
15.00D0 -1.0000006254536319D0
16.00D0 -1.0000004195863122D0
17.00D0 -1.0000002888262392D0
18.00D0 -1.0000002033405059D0
19.00D0 -1.0000001460282368D0
20.00D0 -1.0000001067401283D0

